algo,host,iter,seed,n,avgDeg,alpha,PLE,T,R,TimeTotal,TimePoints,TimePrepro,TimeEdges,GenNumEdge,GenAvgDeg
hypergirgs,gluten,0,430,4641588,10,1,3,0,27.9671,542.314,138.495,238.558,150.962,23174999,9.98581
hypergirgs,gluten,0,440,10000000,10,1,3,0,29.5022,1009.36,263.94,418.06,295.958,49971197,9.99424
hypergirgs,gluten,0,450,21544346,10,1,3,0,31.0374,1807.28,499.24,742.535,500.991,107530532,9.98225
hypergirgs,gluten,0,460,46415888,10,1,3,0,32.5725,3868.21,1004.5,1770.22,988.746,231724456,9.9847
hypergirgs,gluten,0,470,10000,100,1,3,0,11.0622,35.3606,0.859322,24.0371,10.4555,512023,102.405
hypergirgs,gluten,0,480,21544,100,1,3,0,12.6063,30.8103,1.18728,20.5041,9.1066,1071665,99.4862
hypergirgs,gluten,0,490,46415,100,1,3,0,14.1455,22.1802,3.20604,8.82224,10.1414,2294008,98.8477
hypergirgs,gluten,0,500,100000,100,1,3,0,15.683,29.9808,1.7851,12.7784,15.4075,4941640,98.8328
hypergirgs,gluten,0,510,215443,100,1,3,0,17.2191,49.4434,2.5169,21.0346,25.8818,10805354,100.308
hypergirgs,gluten,0,520,464158,100,1,3,0,18.7545,92.0007,4.75691,26.0843,57.7565,23272517,100.278
hypergirgs,gluten,0,530,1000000,100,1,3,0,20.2899,174.117,20.18,41.7884,109.653,50674259,101.349
hypergirgs,gluten,0,540,2154434,100,1,3,0,21.825,340.326,33.1295,73.7801,224.446,107960354,100.222
hypergirgs,gluten,0,550,4641588,100,1,3,0,23.36,817.943,119.459,201.471,482.901,232426812,100.15
hypergirgs,gluten,0,560,10000000,100,1,3,0,24.8951,1721.53,242.991,378.917,1049.6,499544583,99.9089
hypergirgs,gluten,0,570,21544346,100,1,3,0,26.4301,3612.12,553.582,730.508,2266.28,1077481433,100.025
hypergirgs,gluten,0,580,46415888,100,1,3,0,27.9655,7438.84,1013.9,1488.97,4795.09,2322472917,100.072
